iterations,success_simulated,success_theoretical
1,0.783447265625,0.7812499999999999
2,0.9423828125,0.9453125000000001
3,0.3173828125,0.330078125
4,0.01318359375,0.012207031249999894
5,0.530029296875,0.5479736328124998
6,1.0,0.9997863769531249
7,0.578369140625,0.5769729614257815
8,0.018310546875,0.01945686340332051
