noise_level,success_prob
0.0,0.945068359375
0.005,0.844482421875
0.01,0.739990234375
0.02,0.59326171875
0.03,0.469482421875
0.04,0.38916015625
0.05,0.327392578125
0.06,0.2666015625
0.07,0.230224609375
0.08,0.206787109375
0.09,0.177001953125
0.1,0.16943359375
